Gene,GSM461348,GSM461349,GSM461350,GSM1634925,GSM1634926,GSM1634927,GSM1634928,GSM1634937,GSM1634938,GSM1634939,GSM1701025,GSM1701026,GSM1701027,GSM1701038,GSM1701039,GSM1701040
POF1B,9.53652,7.03741,8.88958,5.688453,5.416709,5.394013,6.437105,6.540459,8.265526,7.037035,1.69793,1.62316,1.95648,2.12054,1.81844,1.53212
FBXL21P,10.8974,2.46084,3.98771,7.29214,10.7409,10.54561,7.402047,10.19845,10.37135,10.49094,2.04832,1.4375,4.03066,2.13488,2.65386,1.76512
LITAF,12.6434,12.3189,20.6989,7.052613,8.141543,9.194421,7.574715,9.095298,8.077485,9.494401,2.15123,1.80816,1.62366,2.58018,2.09175,2.09963
FMN2,14.6095,11.4321,11.6148,4.535363,7.445554,7.603412,5.968427,8.865164,7.398525,7.900328,1.49965,1.74755,1.55171,2.31059,2.17293,1.97969
TYR,5.96852,10.2696,7.88441,6.471243,4.580648,4.870105,4.317799,4.854829,4.29172,4.75348,1.53272,1.58941,1.32188,1.38524,1.83277,1.71761
FAM9B,13.1035,10.9862,13.5506,7.87888,7.783724,11.40674,7.965888,7.346759,5.020666,7.502322,1.60441,1.89416,2.00241,2.13691,1.57079,1.68984
UGGT2,5.83392,7.99874,8.2177,6.369507,6.357784,6.878075,6.63105,7.861928,7.128689,6.071041,2.31238,1.8599,2.11226,2.59399,3.58237,2.19847
CA6,10.3869,13.6089,21.2205,5.375645,5.061828,8.150046,7.45115,5.696158,4.531817,4.764048,1.76571,1.82668,1.71685,2.11199,2.04442,2.23589
SCRN3,11.6923,13.7564,19.6941,7.116319,11.5874,11.14083,7.160936,11.06706,9.083415,11.19064,1.94012,1.94694,1.9332,2.1678,1.98589,1.75471
FOXP2,13.6689,18.1624,13.0502,6.971729,8.957735,8.698867,5.547968,8.173252,7.632485,8.902151,1.79278,1.8162,1.86695,2.02307,2.42672,1.73178
CLEC4C,6.93164,10.576,7.94125,5.09448,4.319224,4.756004,5.314418,4.356112,3.637517,3.354824,1.57054,1.68843,1.79453,2.49719,1.5882,1.64577
AP1S3,11.0301,16.4664,10.9616,7.117864,5.181693,5.123054,6.230856,6.267282,6.339628,6.364625,1.93842,2.03048,2.24257,2.12871,1.946,1.97773
SF1,13.9681,18.8636,12.5071,5.09448,4.272257,3.608397,4.096153,3.688638,3.656974,3.863296,1.68652,1.76916,1.66504,4.24697,1.88747,1.3677
POSTN,13.6631,18.4826,21.4409,4.584034,5.708557,7.458545,5.341436,8.382129,9.146491,8.106445,2.42248,2.7548,2.98181,3.38863,4.85391,4.1822
ZNF385B,13.4282,12.9844,11.0968,6.797441,9.802715,9.173152,7.444695,8.472911,7.327394,8.445154,1.56821,2.30123,1.6113,2.04918,1.76916,1.76227
PRKCA-AS1,3.94612,5.5962,6.33613,4.035118,7.958045,7.029017,4.862704,7.066802,7.001582,8.506132,1.49878,1.49878,1.62337,1.79634,1.58213,1.54411
RPP30,7.18537,11.1736,9.84577,5.347196,4.648549,4.141093,4.852893,3.684327,4.061447,4.129092,1.44789,1.74835,1.62554,1.99969,1.946,1.75784
RAB11B-AS1,10.0117,6.97082,6.43917,6.399479,7.930489,7.66768,6.295388,8.105259,7.844706,7.360745,2.32691,2.57287,2.44397,3.81458,2.35105,2.26958
LOC101927516,0,0.47296,3.16835,2.864153,2.975096,2.630493,2.692495,2.192571,1.98215,2.385111,1.30533,1.72929,1.54429,2.27369,1.6734,1.51867
STEAP4,12.3553,216,116.363,6.613146,7.029062,6.707875,7.572402,8.165698,8.094736,8.062329,1.45209,2.78725,1.86695,2.81438,1.74214,2.63055
ZNF555,13.5718,11.4632,9.47923,4.085549,5.100048,4.872756,4.284291,5.623354,4.869747,4.377498,1.68934,1.60656,2.58285,2.71188,2.98054,2.09021
LINC00408,11.1702,7.73641,7.59439,2.218734,4.57939,6.218069,2.898035,7.039782,6.377948,7.005991,1.5194,1.49878,1.60561,1.61557,1.45767,1.51132
FGFR1OP2,8.68328,8.86302,8.19586,4.771914,3.028957,3.048089,4.229233,3.19589,3.299747,2.822166,1.72732,1.84893,1.56946,1.822,1.72732,1.68652
SIM1,10.6537,10.0427,10.5281,6.609033,11.56493,11.15542,7.314768,11.04245,11.59471,11.44723,1.83868,1.64967,1.76742,2.10224,1.62806,1.76766
FILIP1,13.5186,12.2128,28.0975,6.22916,8.172743,9.118306,6.561054,8.997868,9.434379,9.185178,1.73855,1.93196,1.60575,3.81098,3.38005,3.13361
PCDH10,2.40051,1.34141,0,4.620833,3.677171,3.780066,3.73857,3.626924,3.357589,3.616154,1.74914,1.67229,1.55801,2.22223,1.52541,1.83081
PCDH10,10.4396,16.7107,2.90022,5.424103,4.124671,4.025411,5.22788,4.707587,4.493861,4.547688,2.3597,1.62154,1.88176,2.51051,1.72335,1.58265
HCN1,8.30872,7.79991,11.8224,5.756884,4.896842,5.38025,5.461273,5.151248,6.193634,7.725069,1.61607,1.779,1.71039,1.85534,1.74214,2.03717
C6orf89,11.9578,8.55047,15.3451,3.646603,4.095154,3.920586,3.722653,3.494632,3.348128,2.45758,2.71974,2.79207,3.59947,3.62127,2.73071,3.69678
LY86-AS1,9.01549,11.9209,10.3163,3.191415,3.65094,3.140402,3.599782,2.55635,2.447381,2.646663,1.55945,1.84029,1.96533,3.76749,1.92677,1.51111
LINC00606,14.6949,18.8946,17.7002,6.714424,5.414615,5.603263,6.712767,4.724978,4.439071,5.284554,1.92995,1.95391,1.6721,2.19422,2.45052,1.85661
LINC01138,4.84653,10.3792,10.1104,5.824459,5.337753,5.028538,5.904746,4.6911,4.451285,4.88607,1.68772,1.75137,1.92021,2.63516,2.04264,1.90799
LOC105376166,13.4696,15.1845,51.3409,7.909109,5.646924,5.78022,7.891468,5.240707,5.745266,5.416419,2.93632,2.72754,3.08366,3.43118,4.53594,4.34927
